,V0_B_ou_r0_B
V0_B_ou_r0_B,1.0
Nd,0.475152181872888
Ba,0.46638620378913215
Cs,0.4643620186777261
Te,0.4639805294733741
Pr,0.462999742376484
Ru,0.46256888325853973
La,0.4619011321701494
Y,0.4611721010817866
Cd,0.44711992328613925
Th,0.4452491757487843
Mn,0.4260382985244616
Mo,0.3962316947250399
Ag,0.3788558482132852
Température,0.3696659477380146
U,0.3493018128109445
Ni,0.3426551337568755
Cr,0.34198964991817254
S_autres_TR,0.3404859397554669
Sb,0.3384098913345323
Li,0.3176014161565306
Fe,0.3090783561834999
Sr,0.2983547118447119
P,0.2922508442577053
Zr,0.16625048860619265
Ca,0.15316712074814945
Zn,0.12072594212560328
Ti,0.08220170398378357
O,0.0634427166426207
Ce,0.05539749480610264
Ph_Final,0.012157395104574462
Mg,-0.09085085125034438
B,-0.10553514825297806
K,-0.18519171351333977
Sn,-0.18870600286859493
Na,-0.2426601310686947
Si,-0.2524549631869791
Al,-0.325199061888557
V,
Co,
Cu,
Ga,
Ge,
As,
Se,
Rb,
Nb,
Tc,
Rh,
Pd,
In,
I,
Hf,
Ta,
W,
Re,
Os,
Ir,
Pt,
Au,
Hg,
Tl,
Pb,
Bi,
Po,
At,
Rn,
Pu,
Np,
Am,
Cm,
S_autres_An,
